Name,Age,NetWorth,,,,,,
Michael Pieper,76,4400000000,,,,,,
Issad Rebrab & family,78,5100000000,,,,,,
Tsai Hong-tu,69,4600000000,,,,,,
Richard Tsai,64,4600000000,,,,,,
Wang Junshi & family,73,4900000000,,,,,,
Wang Yanqing & family,56,4200000000,,,,,,
Shari Arison,64,4600000000,,,,,,
Alain Bouchard,73,5900000000,,,,,,
"Austen Cargill, II.",71,5200000000,,,,,,
"James Cargill, II.",73,5200000000,,,,,,
Ben Chestnut,47,5000000000,,,,,,
Wei Fang,48,4200000000,,,,,,
Leonid Fedun,66,7500000000,,,,,,
Johann Graf,75,4900000000,,,,,,
Huang Chulong,63,4700000000,,,,,,
Huang Yi,60,6000000000,,,,,,
Vladimir Kim,61,5000000000,,,,,,
Dan Kurzius,50,5000000000,,,,,,
Ronald Lauder,78,5000000000,,,,,,
Marianne Liebmann,68,5200000000,,,,,,
Tobi Lutke,41,3600000000,,,,,,
Thomas Pritzker,71,4900000000,,,,,,
Scott Shleifer,44,5000000000,,,,,,
Autry Stephens,83,5000000000,,,,,,
Peter Thiel,54,4700000000,,,,,,
Tsai Cheng-ta,72,4500000000,,,,,,
Hansjoerg Wyss,87,5100000000,,,,,,
Xiao Yongming & family,57,4100000000,,,,,,
Zhang Tao,49,6700000000,,,,,,
Daniel Ziff,50,5000000000,,,,,,
Dirk Ziff,58,5000000000,,,,,,
Robert Ziff,55,5000000000,,,,,,
Mat Ishbia,42,4600000000,,,,,,
"Robert Rich, Jr.",81,4900000000,,,,,,
Thomas Schmidheiny,76,4900000000,,,,,,
Alexandra Schoerghuber & family,63,4400000000,,,,,,
Erik Selin,55,3600000000,,,,,,
Daniel Tsai,66,4400000000,,,,,,
Dona Bertarelli,54,4700000000,,,,,,
Andrei Guriev & family,62,10500000000,,,,,,
Luciano Hang,59,5200000000,,,,,,
Hu Baifan,59,3200000000,,,,,,
Bidzina Ivanishvili,66,4800000000,,,,,,
Leng Youbin,53,4500000000,,,,,,
Theo Mueller,82,4700000000,,,,,,
"Julian Robertson, Jr.",89,4800000000,,,,,,
Marc Rowan,59,4600000000,,,,,,
Emanuele (Lino) Saputo & family,85,4300000000,,,,,,
Jeff Skoll,57,4600000000,,,,,,
Frank Wang,41,4800000000,,,,,,
Wang Junlin,59,4600000000,,,,,,
Yang Shaopeng,64,4800000000,,,,,,
Maria Fernanda Amorim & family,87,4800000000,,,,,,
Leonid Boguslavsky,70,4000000000,,,,,,
Richard Branson,71,4500000000,,,,,,
Robert Brockman,81,4700000000,,,,,,
Pierre Chen,65,4500000000,,,,,,
Chu Mang Yee & family,62,4300000000,,,,,,
Scott Cook,69,4400000000,,,,,,
Mark Cuban,63,4700000000,,,,,,
Guenther Fielmann & family,82,4600000000,,,,,,
Martin Haefner,68,4700000000,,,,,,
Johnelle Hunt,90,4300000000,,,,,,
"Andre Koo, Sr.",55,4400000000,,,,,,
Lai Meisong,51,5500000000,,,,,,
Richard Li,55,4700000000,,,,,,
Mangal Prabhat Lodha,66,4300000000,,,,,,
Igor Olenicoff,79,4700000000,,,,,,
Mark Shoen,71,4300000000,,,,,,
Andrei Skoch & family,56,6500000000,,,,,,
Fred Smith,77,4800000000,,,,,,
Murat Ulker,63,4700000000,,,,,,
Yu Yong,61,4100000000,,,,,,
Stéphane Bancel,49,4800000000,,,,,,
Bubba Cathy,68,4700000000,,,,,,
Dan Cathy,69,4700000000,,,,,,
Trudy Cathy White,66,4700000000,,,,,,
Jason Chang,78,4700000000,,,,,,
Dagmar Dolby & family,80,4900000000,,,,,,
Bruce Flatt,57,4600000000,,,,,,
Masatoshi Ito,98,4300000000,,,,,,
Viatcheslav Kantor,68,11500000000,,,,,,
Min Kao & family,73,4400000000,,,,,,
Lin Xiucheng & family,66,3600000000,,,,,,
Sami Mnaymneh,60,4600000000,,,,,,
Tony Tamer,64,4600000000,,,,,,
